Product,Issue,Company,State,ZIP code,Complaint ID
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,10701,3223412
checking savings account,managing account,suntrust banks inc,CT,06513,3224069
checking savings account,managing account,old national bank,MI,49286,3224308
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NC,270XX,3224342
mortgage,trouble payment process,pnc bank na,NJ,07003,3224297
mortgage,struggling pay mortgage,fay servicing llc,PA,19139,3224020
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,90220,3224319
credit reporting credit repair services personal consumer reports,improper use report,ally financial inc,FL,322XX,3223224
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NC,270XX,3224358
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,323XX,3223547
credit card prepaid card,problem purchase shown statement,citibank na,FL,32129,3224285
credit card prepaid card,other features terms problems,synchrony financial,FL,34476,3224072
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,GA,30260,3224432
credit reporting credit repair services personal consumer reports,incorrect information report,citibank na,NC,275XX,3224052
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,mariner finance llc,TX,752XX,3224041
debt collection,attempts collect debt owed,ncc business services inc,VA,22102,3223880
debt collection,written notification debt,caine  weiner company inc,TX,770XX,3223373
checking savings account,managing account,united services automobile association,GA,30236,3224460
checking savings account,managing account,citibank na,CA,92103,3224301
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,CO,800XX,3224180
money transfer virtual currency money service,other transaction problem,paypal holdings inc,VA,22204,3224039
checking savings account,opening account,midfirst bank,VA,231XX,3224418
debt collection,communication tactics,td bank us holding company,NJ,085XX,3223283
credit reporting credit repair services personal consumer reports,unable get credit report credit score,transunion intermediate holdings inc,VA,23322,3223860
credit card prepaid card,other features terms problems,bank of america national association,TN,38139,3224146
vehicle loan lease,managing loan lease,ally financial inc,KY,40444,3224192
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,AZ,85356,3224000
mortgage,trouble payment process,mt bank corporation,IL,61342,3225223
debt collection,attempts collect debt owed,convergent resources inc,IL,61821,3224040
credit card prepaid card,getting credit card,american express company,GA,31131,3224036
credit card prepaid card,problem purchase shown statement,wells fargo  company,CA,90018,3224292
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,WA,982XX,3223961
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,OH,44111,3223528
